a	b
GABARAPL2	MAP1LC3A
GABARAPL2	OPTN
GABARAPL2	BECN1
GABARAPL2	CALCOCO2
GABARAPL2	MAP1LC3C
GABARAPL2	UVRAG
GABARAPL2	ATG14
GABARAPL2	PIK3C3
GABARAPL2	GABARAPL1
GABARAPL2	GABARAP
GABARAPL2	MAP1LC3B
VAMP3	STX6
VAMP3	YKT6
VAMP3	NSF
VAMP3	VAMP8
VAMP3	NAPA
VAMP3	VTI1B
VAMP3	VAMP7
VAMP3	SNAP29
VAMP3	CTTN
VAMP3	STX17
SNAP29	PSEN1
SNAP29	STX6
SNAP29	VAMP7
SNAP29	TOM1
SNAP29	ATG14
SNAP29	VAMP8
SNAP29	NAPA
SNAP29	LAMP1
SNAP29	STX17
SNAP29	LAMP2
SNAP29	VAPA
VPS18	VTI1B
VPS18	VPS33A
VPS18	RAB7A
VPS18	VPS39
VPS18	VPS16
VPS18	VPS41
VPS18	VPS11
YKT6	STX6
YKT6	NSF
YKT6	VAMP8
YKT6	NAPA
YKT6	VTI1B
YKT6	VAMP7
YKT6	STX17
YKT6	DCTN1
ATG14	BECN1
ATG14	GABARAP
ATG14	AMBRA1
ATG14	UVRAG
ATG14	GABARAPL1
ATG14	PIK3C3
ATG14	STX17
STX6	VTI1B
STX6	NSF
STX6	VAMP7
STX6	VAMP8
STX6	NAPA
STX6	STX17
STX17	VPS33A
STX17	NSF
STX17	VAMP8
STX17	VPS16
STX17	NAPA
STX17	VTI1B
STX17	VAMP7
RAB21	RAB34
RAB21	RAB7A
RAB21	RAB20
RAB21	RAB7B
RAB21	RAB29
RAB21	RAB39A
PIK3C3	MAP1LC3A
PIK3C3	BECN1
PIK3C3	MAP1LC3C
PIK3C3	AMBRA1
PIK3C3	UVRAG
PIK3C3	GABARAPL1
PIK3C3	GABARAP
PIK3C3	PI4K2A
PIK3C3	MAP1LC3B
PIK3C3	RUBCN
VAMP7	VAMP8
VAMP7	NAPA
VAMP7	VTI1B
VAMP7	SNAPIN
VAMP7	CTTN
NAPA	VTI1B
NAPA	SNAPIN
NAPA	NSF
NAPA	VAMP8
VAMP8	PSEN1
VAMP8	LAMP2
VAMP8	VTI1B
VAMP8	SNAPIN
VAMP8	TOM1
VAMP8	LAMP1
VAMP8	CTTN
VAMP8	VAPA
RAB7A	VPS33A
RAB7A	OSBPL1A
RAB7A	VPS16
RAB7A	VPS41
RAB7A	RAB34
RAB7A	RAB20
RAB7A	RAB7B
RAB7A	RAB29
RAB7A	VPS39
RAB7A	LAMP1
RAB7A	RAB39A
RAB7A	VPS11
RAB7A	DCTN1
GABARAPL1	MAP1LC3A
GABARAPL1	OPTN
GABARAPL1	BECN1
GABARAPL1	CALCOCO2
GABARAPL1	MAP1LC3C
GABARAPL1	UVRAG
GABARAPL1	GABARAP
GABARAPL1	MAP1LC3B
VPS33A	VPS16
VPS33A	VPS41
VPS33A	VPS39
VPS33A	VPS11
RAB20	RAB34
RAB20	RAB7B
RAB20	RAB29
RAB20	RAB39A
MAP1LC3B	MAP1LC3A
MAP1LC3B	OPTN
MAP1LC3B	BECN1
MAP1LC3B	MAP1LC3C
MAP1LC3B	UVRAG
MAP1LC3B	GABARAP
RUBCN	BECN1
RUBCN	UVRAG
GABARAP	MAP1LC3A
GABARAP	OPTN
GABARAP	NSF
GABARAP	BECN1
GABARAP	CALCOCO2
GABARAP	MAP1LC3C
GABARAP	UVRAG
VPS41	VPS39
VPS41	VPS16
VPS41	VPS11
OSBPL1A	DCTN1
BORCS5	SNAPIN
BORCS5	BLOC1S2
BORCS5	BORCS7
BORCS5	BORCS8
BORCS5	KXD1
BORCS5	BLOC1S1
BORCS5	BORCS6
RAB39A	RAB34
RAB39A	RAB7B
RAB39A	RAB29
PSEN1	LAMP2
PSEN1	TOM1
PSEN1	LAMP1
PSEN1	VAPA
LAMP1	LAMP2
LAMP1	TOM1
LAMP1	VAPA
VPS39	VPS16
VPS39	VPS11
BORCS7	SNAPIN
BORCS7	BLOC1S2
BORCS7	BORCS8
BORCS7	KXD1
BORCS7	BLOC1S1
BORCS7	BORCS6
VAPA	LAMP2
VAPA	TOM1
UVRAG	MAP1LC3A
UVRAG	BECN1
UVRAG	MAP1LC3C
ATP2A1	ATP2A3
ATP2A1	ATP2A2
MAP1LC3C	MAP1LC3A
MAP1LC3C	BECN1
MYO1C	MYO6
ATP2A3	ATP2A2
BECN1	MAP1LC3A
BECN1	AMBRA1
RAB29	RAB34
RAB29	RAB7B
SNAPIN	BLOC1S2
SNAPIN	BORCS8
SNAPIN	KXD1
SNAPIN	BLOC1S1
SNAPIN	BORCS6
BLOC1S2	KXD1
BLOC1S2	BORCS8
BLOC1S2	BLOC1S1
BLOC1S2	BORCS6
VPS16	VPS11
BORCS6	BORCS8
BORCS6	KXD1
BORCS6	BLOC1S1
LAMP2	TOM1
RAB34	RAB7B
BORCS8	KXD1
BORCS8	BLOC1S1
BLOC1S1	KXD1
